
531.0;0.0;1.0;2.0;29.0;3.0;4.0;7.0;583.0;5.0;12.0;6.0;570.0;33.0;11.0;13.0;25.0;80.0;32.0;27.0;31.0;163.0;46.0;19.0;14.0;17.0;22.0;23.0;28.0;41.0;20.0;103.0;30.0;44.0;917.0;45.0;18.0;47.0;64.0;24.0;43.0;425.0;87.0;85.0;77.0;57.0;78.0;446.0;62.0;35.0;36.0;68.0;74.0;48.0;75.0;49.0;51.0;466.0;54.0;56.0;104.0;706.0;60.0;71.0;73.0;159.0;162.0;84.0;160.0;90.0;91.0;194.0;213.0;129.0;136.0;137.0;172.0
481.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90.11857707509881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193.046626329422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58.0;0.0;1.0;2.0;3.0;4.0;6.0;7.0;5.0;12.0;11.0;13.0;19.0;22.0;87.0;24.0;84.0;14.0;20.0;51.0;41.0;17.0;23.0;27.0;30.0;109.0;45.0;48.0;31.0;56.0;85.0;43.0;44.0;18.0;28.0;163.0;46.0;64.0;33.0;25.0;162.0;47.0;60.0;62.0;25.0;29.0;32.0;138.0;36.0;371.0;68.0;74.0;15.0;161.0;78.0;49.0;137.0;54.0;129.0;71.0;73.0;75.0;159.0;91.0;90.0;104.0;136.0;194.0;213.0;446.0;160.0;172.0;531.0;466.0;126.0
355.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40.316205533596836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174.8634204864502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535.0;0.0;2.0;25.0;3.0;4.0;7.0;5.0;19.0;10.0;12.0;6.0;11.0;13.0;23.0;24.0;47.0;1.0;9.0;17.0;66.0;28.0;41.0;45.0;314.0;27.0;30.0;26.0;32.0;159.0;84.0;85.0;67.0;68.0;44.0;46.0;31.0;36.0;74.0;91.0;86.0;87.0;89.0;42.0;49.0;50.0;56.0;60.0;65.0;199.0;287.0;221.0;367.0;71.0;73.0;160.0;79.0;194.0;213.0;126.0;136.0;137.0;142.0;154.0;175.0
314.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.110671936758894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210.86999893188477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242.0;0.0;20.0;1.0;2.0;4.0;7.0;3.0;5.0;10.0;6.0;19.0;13.0;23.0;24.0;12.0;17.0;28.0;30.0;41.0;49.0;22.0;121.0;27.0;33.0;50.0;47.0;25.0;45.0;64.0;31.0;44.0;87.0;77.0;46.0;84.0;36.0;74.0;79.0;129.0;86.0;126.0;160.0;54.0;42.0;56.0;65.0;89.0;71.0;90.0;234.0;73.0;76.0;43.0;80.0;159.0;91.0;194.0;215.0;154.0;287.0;136.0;314.0;60.0;175.0;68.0;738.0
321.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.877470355731226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195.7355601787567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209.0;65.0;0.0;7.0;2.0;1.0;41.0;3.0;4.0;5.0;6.0;10.0;12.0;13.0;84.0;19.0;17.0;22.0;23.0;24.0;74.0;27.0;30.0;28.0;31.0;33.0;44.0;45.0;314.0;47.0;36.0;87.0;20.0;287.0;21.0;64.0;85.0;129.0;25.0;79.0;46.0;80.0;86.0;50.0;42.0;56.0;68.0;160.0;60.0;178.0;234.0;54.0;71.0;159.0;73.0;76.0;91.0;89.0;194.0;215.0;126.0;136.0;154.0;175.0;49.0;738.0
318.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
